category,UA
runtime,108.4651472568512
l2miss,85609534.19589552
r1b2,939410944.9216418
LLC-load-misses,5575690.330223881
LLC-store-misses,1617683.9757462686
instructions,7340565535.697762
cycles,7709699325.623135
stall_cycles,4064179584.1884327
intra_coh,255908.4291044776
inter_coh,0.03731343283582089
wall-cycles,421264876.13619405
llc_occupancy,2656775.6417910447
