category,facesim
runtime,50.253424644470215
l2miss,57730795.02074689
r1b2,15508271.626556017
l3miss,8246367.207468879
instructions,9614145011.92946
cycles,4925337650.244813
stall_cycles,1098743129.2614107
intra_coh,2442257.4149377593
inter_coh,8.157676348547717
wall_cycles,420316962.3900415
llc_size,41843512.298755184
local_mem,443698299.219917
remote_mem,3344511.468879668
