category,x264
runtime,8.143487215042114
l2miss,65588116.114285715
r1b2,18653997.457142856
l3miss,17317765.65714286
instructions,12420796479.828571
cycles,6884305311.028571
stall_cycles,1535330388.4
intra_coh,179432.14285714287
inter_coh,0.05714285714285714
wall-cycles,423491597.05714285
llc_occupancy,41647191.77142857
