category,EP
runtime,58.84835624694824
l2miss,37965817.47826087
l3miss,8034603.9478260875
instructions,13095238666.626087
cycles,20741355039.77391
stall_cycles,7280980573.965217
intra_coh,31.582608695652176
inter_coh,0.0
wall_cycles,2105422505.2869563
llc_size,11457972.313043477
local_mem,226811.547826087
remote_mem,642822.6782608696
