category,kmeans
runtime,32.99429678916931
l2miss,68881590.94303797
r1b2,2218723.879746835
l3miss,4646037.253164557
instructions,3408365677.848101
cycles,4514995981.841772
stall_cycles,2895454168.43038
intra_coh,48313665.60759494
inter_coh,0.4240506329113924
wall_cycles,420122998.721519
llc_size,41122595.64556962
local_mem,328877483.7468355
remote_mem,553322.9367088608
