category,EP
runtime,468.49834275245667
l2miss,15171783.825096691
r1b2,62012.626128061886
l3miss,3209758.5642458103
instructions,5225869877.874086
cycles,8275351689.86936
stall_cycles,2908018638.113451
intra_coh,6318.893854748603
inter_coh,0.04555221314997851
wall-cycles,420883164.12677264
llc_occupancy,72210.70219166309
