category,IS
runtime,1335.8318059444427
l2miss,31535812.518154312
l3miss,17711297.857034795
instructions,848258398.8267777
cycles,2297727285.024962
stall_cycles,1710249567.8411498
intra_coh,196027.03101361575
inter_coh,1046026.636913767
wall_cycles,2101486873.4016643
llc_size,308001204.86535555
local_mem,1081504915.170953
remote_mem,4653551.733736763
