category,cfd
runtime,46.854652881622314
l2miss,20864141.826839827
r1b2,8695244.658008657
l3miss,1587361.2424242424
instructions,7224201570.363636
cycles,4286471976.7272725
stall_cycles,775015567.5627706
intra_coh,418429.94805194804
inter_coh,1820.6493506493507
llc_occupancy,14080780.979653679
wall-cycles,420721950.85714287
