category,BT
runtime,2026.6245822906494
l2miss,209214577.2951389
r1b2,825175715.4169643
l3miss,79022755.76656745
instructions,13619598778.687798
cycles,8031119017.2014885
stall_cycles,3118738282.101885
intra_coh,850.2146825396825
inter_coh,0.5996031746031746
wall-cycles,421021924.85684526
llc_occupancy,41937773.71428572
