category,swaptions
runtime,46.609450340270996
l2miss,8109978.637362637
l3miss,18282.571428571428
instructions,33721104754.153847
cycles,19739919295.472527
stall_cycles,4299814957.4725275
intra_coh,6297973.67032967
inter_coh,0.3516483516483516
wall_cycles,2104446087.3626373
llc_size,18282383.472527474
local_mem,106586.02197802198
remote_mem,475316.04395604396
