category,bodytrack
runtime,16.30836510658264
l2miss,23277606.333333332
r1b2,2674396.7435897435
LLC-load-misses,18639.28205128205
LLC-store-misses,733.1025641025641
instructions,10160210800.705128
cycles,4583140568.346154
stall_cycles,495771799.3974359
intra_coh,2599474.3205128205
inter_coh,0.46153846153846156
wall-cycles,421773580.94871795
llc_occupancy,14880873.025641026
