category,particlefilter
runtime,44.27380728721619
l2miss,684115807.764977
r1b2,1040741259.2304147
LLC-load-misses,9747.414746543778
LLC-store-misses,13489.981566820277
instructions,10877935523.935484
cycles,4691841414.502304
stall_cycles,716481781.7050691
intra_coh,1338.4976958525347
inter_coh,0.1935483870967742
wall-cycles,420716095.483871
llc_occupancy,6354575.926267281
