category,BT
runtime,91.68818998336792
l2miss,76266891.21192053
r1b2,885689749.9514349
l3miss,36870603.569536425
instructions,14641550233.121412
cycles,8202087240.615894
stall_cycles,3033221138.1589403
intra_coh,1788.7660044150111
inter_coh,0.02207505518763797
wall-cycles,421286094.89624727
llc_occupancy,41929874.931567326
