category,nn
runtime,93.73112392425537
l2miss,26857350.453362256
r1b2,219134.11496746202
l3miss,4943.390455531453
instructions,3265265271.3665943
cycles,8159839183.26898
stall_cycles,5457682305.479393
intra_coh,16700321.893709328
inter_coh,0.7310195227765727
wall-cycles,421069624.04772234
llc_occupancy,40800353.73535792
