category,freqmine
runtime,47.964810848236084
l2miss,17272499.550847456
r1b2,488871.6779661017
l3miss,4353113.593220339
instructions,10453617637.550848
cycles,5766371664.148305
stall_cycles,1439209566.3855932
intra_coh,2701844.525423729
inter_coh,266262.07627118647
wall-cycles,420248008.3220339
llc_occupancy,48620214.23728813
