category,streamcluster
runtime,131.31663537025452
l2miss,29822452.03374233
r1b2,520426.9386503067
l3miss,21207252.79447853
instructions,1668081173.559816
cycles,3259524420.3328223
stall_cycles,2321826022.1242332
intra_coh,2445382.4739263803
inter_coh,0.006134969325153374
wall-cycles,419626815.6411043
llc_occupancy,2088105.6196319018
local_mem,1372249056.588957
remote_mem,2228123.4846625766
