l2miss,r1b2,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
14979161,18904936,12312905,5005442307,2541101832,616262592,1739300,2,631279743,41811968,1263861760,0
26522549,36687473,15338932,8452244170,4020102949,995098480,2104929,0,419528487,41811968,1240858624,22937600
26485062,42784186,14339789,8239078808,3988728578,1007699068,1811538,0,419910546,41680896,1049231360,0
25288249,31969239,15846273,8191725312,3985910791,980581000,1886917,0,419768189,40697856,1113784320,38928384
21386751,31282671,15719823,7812083367,4006151415,1028028954,1881731,0,419408563,41943040,945487872,0
20927744,16976697,12492866,8235908300,3951418959,879719183,1650974,0,419785710,41746432,885653504,2752512
24290158,41024899,18218451,7309577072,3899907070,1088192920,1734514,0,419512932,41680896,1208025088,0
18410022,20778265,11690112,8177296819,3902651898,885959083,1566416,0,419618904,41943040,835387392,2883584
22734477,42925841,13101627,8112618632,3917624884,820344098,1325104,0,419556351,41287680,940441600,0
22115141,36997024,14906913,7619649899,3860484026,956830765,1505630,0,419693925,41811968,1034354688,19005440
20790909,36865262,13508633,7494348237,3898257395,1069153715,1600905,0,419498067,41811968,1002045440,0
18567559,28139978,13050560,7826936822,3916588482,935577268,1445907,0,419837670,41943040,870449152,0
20278864,27191115,14100740,7504389021,3872625822,821365317,1281655,0,419655630,41943040,833945600,4653056
19982067,27948602,13001092,7796542955,3966022495,915794827,1571028,0,419964620,40435712,879362048,0
19759998,25108217,11902066,7865562563,4007573348,946538234,1758071,0,419505365,41680896,847249408,1048576
22113129,44408719,13485136,7594277362,4005091920,987525266,1521483,0,419916173,41811968,995164160,1835008
22660903,57613600,14467024,7350839176,4024140641,1044638005,1751526,0,419629149,41811968,1031864320,5439488
21799009,39211358,14260951,7512334615,4021545786,1026965366,1847721,0,419941173,41811968,893583360,0
17436437,22053585,12372087,7527253405,4022264179,1023099032,1644180,0,419575671,41943040,857735168,0
19040913,42921116,13326027,7474732059,4019971925,965721021,1379511,0,419605236,41811968,858390528,917504
17740456,33168876,12214839,7586904584,4012506388,937589330,1298849,0,419500743,41811968,860356608,393216
17647859,14420711,9306436,7808268736,4011036520,819213046,1429653,0,419873817,41811968,670433280,57212928
16529121,30762300,11000373,7556162903,4038900818,842774603,1373997,0,419588019,41811968,679280640,0
16478784,15592086,10441737,7530652512,4022252386,935206373,1588019,0,419558718,41746432,756678656,0
17949853,26679185,12082212,7388507371,3987840440,854557639,1434835,0,420048324,40960000,792526848,0
19608644,31169364,10890263,7461083815,3993326395,868904891,1563214,0,419344863,41811968,843710464,1114112
15588194,18712793,11153012,7297587342,4019125258,968042992,1435499,0,419681184,41811968,749862912,0
16323436,22605534,10691715,7305486748,3991093916,894760890,1348486,0,419645961,41811968,751501312,196608
13957927,16559814,7289376,7624621513,4020482976,727662665,1257947,2,419686710,41353216,466092032,1310720
14122668,19116781,9574764,7041722017,3975982240,971364161,1441777,0,419704083,41811968,668139520,196608
15227415,22905264,9781523,7351017817,4009154442,934573837,1509447,0,419677899,41943040,744620032,0
11679819,15290648,7742511,7618568960,4013486834,715856798,1011125,0,419983596,41877504,457048064,2490368
15408072,16010863,8196717,7191709765,3983595986,933421620,1462060,0,419368926,41811968,669646848,0
14120053,22378597,10420856,7179535057,3986257216,959257662,1412860,0,419847039,41811968,722075648,0
12430342,10089312,7050138,7518657930,4057346238,703962311,1192396,0,419703786,41943040,406519808,917504
18706365,35964824,10004459,7249093286,4021108138,826424216,1152282,0,419786169,41811968,698089472,0
12640502,12770163,5452056,7774415061,4032208847,697419090,1185802,0,419798117,40763392,441450496,1835008
14000218,28581603,10456301,6982650187,4008747691,950779796,1383437,0,419451347,41943040,671023104,0
11283086,9650633,7211376,7599293908,4032258855,728744217,1092887,0,419658812,41222144,442368000,786432
11755914,12716163,9046675,7013739375,4002867861,1015028019,1410303,0,419744922,41811968,634978304,0
10108412,4871769,4907720,7726175106,4029895744,751013694,1189319,0,419934729,40370176,409141248,393216
16344851,13797754,7932238,7268288677,4001579081,832672100,1166464,0,419597622,40894464,610795520,262144
11775892,12498388,5840909,7615407018,4033076356,683767438,1046142,0,420074757,41811968,407830528,917504
15861338,14434516,8596277,7050883804,3962930213,855763871,1093923,0,419511594,41811968,618201088,0
10143377,4647310,6118693,7333147450,3975616227,720592691,886387,2,419704156,41943040,380895232,720896
14632786,15368459,8838100,7072326349,3916404821,831613979,1023909,0,420004060,40697856,612368384,0
9829331,8393294,5340911,7205693936,3930717555,739043789,863734,0,419316976,41746432,364249088,0
12259571,5913575,5500508,7731476650,4007607444,638406313,918505,0,419610925,41943040,395837440,786432
15856949,16672213,8898691,6936430901,3925819344,845563045,1078404,0,419741609,41615360,621346816,0
11192845,9847136,4777423,7526131329,3952503948,696514763,919141,0,419759691,41025536,393609216,458752
13307130,19436257,10703212,6789530379,3904945474,865863288,991152,0,419585937,41943040,596115456,0
8824388,2641386,4919963,7445346580,3955023434,719848595,1039260,0,419906012,40697856,367263744,393216
16146812,15637453,7776512,7190292927,3936979430,810805620,1064478,0,419369413,41811968,617938944,0
7666863,3701267,5780207,7288679434,3990605298,753166087,988496,0,419533536,40566784,345964544,655360
10093466,3602428,6482581,7425777800,3976454332,855897375,1228755,0,419747963,41811968,554893312,35520512
12653119,7681025,7259389,7160892026,4000346595,760394544,1086894,0,419619853,41943040,432603136,0
12565272,11087244,7864917,7471276896,4008221283,707380876,1052334,0,419637549,41680896,475201536,9109504
12762984,11915707,8052067,6924443943,4018640316,901526114,1165862,0,419936412,41943040,523960320,0
12954887,8378355,6566903,7548950144,4009780513,701142299,1021327,0,419415882,41811968,517079040,9109504
12589592,15199203,8980225,6774681256,4005280122,983230555,1144444,0,419824883,40697856,552665088,0
11195825,10602963,7878091,7364964378,3995816461,814384389,1242030,0,419648041,41746432,527630336,21495808
11865218,6693889,7967096,6781705447,4000204229,945685322,1294008,0,419721651,41811968,507904000,0
14566194,12304786,9613485,7153950968,3986443626,860619010,1172693,0,419633325,41943040,679804928,16121856
12075941,9026745,7348644,7037970684,3953526492,816228197,1061008,0,420017080,41091072,458162176,0
16332647,14642786,11190836,6731756265,3972638014,893353510,1098418,0,419518478,41943040,650379264,0
11566554,9753016,5976375,7262943208,3970784270,758798340,1020244,0,419622372,41811968,424280064,3538944
16100641,16985576,11033878,6693706474,3938572503,954995539,1101092,0,419764221,41811968,685244416,0
