category,SP
runtime,126.30203199386597
l2miss,164820855.0369775
r1b2,799199095.8424437
l3miss,79940826.87620579
instructions,6497073054.299035
cycles,4132876857.466238
stall_cycles,1606079844.688103
intra_coh,6674.345659163987
inter_coh,0.08520900321543408
wall_cycles,420033866.7395498
llc_size,40864540.81028939
local_mem,6028300722.623795
remote_mem,19714219.21543408
