category,blackscholes
runtime,49.017183780670166
l2miss,1984767.0165975103
r1b2,996410.0705394191
l3miss,1962062.0082987552
instructions,3254844961.0954356
cycles,5050040209.103734
stall_cycles,2017101039.8423235
intra_coh,366.49377593361
inter_coh,0.11203319502074689
wall-cycles,420386166.8672199
llc_occupancy,41532148.3153527
