category,freqmine
runtime,74.97359466552734
l2miss,12796339.782608695
r1b2,387626.4918478261
l3miss,3215884.5407608696
instructions,6703694534.736413
cycles,3936942923.7038045
stall_cycles,1147751009.7961957
intra_coh,2403171.407608696
inter_coh,490001.3206521739
wall_cycles,419720669.3777174
llc_size,40889477.56521739
local_mem,84962793.73913044
remote_mem,35097555.47826087
