category,dedup
runtime,8.169691801071167
l2miss,1495042.0
r1b2,222183.0
l3miss,860812.0
instructions,47384885.0
cycles,187980789.0
stall_cycles,146553826.0
intra_coh,0.0
inter_coh,1.0
wall_cycles,419527977.0
llc_size,38731776.0
local_mem,78708736.0
remote_mem,0.0
