category,bfs
runtime,30.69867467880249
l2miss,631746.701986755
r1b2,1337676.6821192054
l3miss,3750684693859.344
instructions,99233751968595.52
cycles,438825267.1655629
stall_cycles,34483902.60927153
intra_coh,25744.30463576159
inter_coh,536.841059602649
llc_occupancy,334202.0470860927
wall-cycles,420361829.0
