category,bodytrack
runtime,27.732431173324585
l2miss,12631724.623076923
r1b2,2867488.9076923076
l3miss,132859.0153846154
instructions,6024906428.815385
cycles,2974333675.123077
stall_cycles,322160806.36153847
intra_coh,2120559.1
inter_coh,2106.753846153846
llc_occupancy,169970.78092307693
wall-cycles,439973123.0
