category,IS
runtime,1201.4214594364166
l2miss,7534303.192474917
r1b2,3072219.409866221
l3miss,4097529.2005016725
instructions,188701471.3312709
cycles,550261638.2777592
stall_cycles,420054445.6413044
intra_coh,55077.083612040136
inter_coh,217526.93277591973
wall_cycles,419974461.02424747
llc_size,35179571.37123746
local_mem,254997573.1799331
remote_mem,1592459.0448160535
