category,blackscholes
runtime,46.217052936553955
l2miss,1446592.9124423964
r1b2,112298123655524.53
l3miss,1137171.8894009218
instructions,2351370091.6175117
cycles,1395948320.1935484
stall_cycles,280606888.9032258
intra_coh,4352.493087557604
inter_coh,767.2811059907834
llc_occupancy,26310983.101520736
wall-cycles,419721709.71428573
