category,UA
runtime,107.66717576980591
l2miss,87428449.48197344
r1b2,959855139.7267553
l3miss,54739691.25616698
instructions,7454353398.330171
cycles,7708212695.425048
stall_cycles,3985418074.4212523
intra_coh,261508.85388994307
inter_coh,0.10436432637571158
wall_cycles,420427611.7305503
llc_size,41941050.292220116
local_mem,5423008245.313093
remote_mem,17515397.58633776
