l2miss,r1b2,LLC-load-misses,LLC-store-misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall-cycles,llc_occupancy
120875998,1759033042,4232573,489688,12967340524,8269452701,3646237115,29014,0,420523140,41615360
40937995,487325,10123648,5297,16890363780,8271057918,2400121064,1340,0,420569998,41615360
131080711,1984531003,6844950,605778,9965370599,8252037080,4499251174,11108,0,420206385,41615360
38463654,907822,7724796,5695,18353295883,8267112039,1900568809,17408,0,420677567,41615360
118219646,1650311727,8260087,688530,10794747106,8265474528,4300554333,2050,0,421143092,41680896
61637399,351530361,4647828,13725,18981320920,8241320179,1744900861,45048,0,420509236,41615360
80503760,761638534,8720581,702665,13062984425,7876580997,3221762823,1058,0,420747250,41943040
92137815,1315360610,4689654,12678,15146325125,8253952577,2838295241,27026,0,420554981,41549824
48214444,146589597,9886178,35855,15814456161,8171495923,2725730202,845,0,421362144,41811968
123333513,1813419267,4316527,694817,12787177662,8247629179,3639895619,25141,0,420215183,41615360
42132979,430634,9910869,5232,17058501710,8271529567,2341182600,1473,0,420848684,41615360
131050827,1981625724,6738911,518468,9862386671,8196962784,4497189871,13517,0,420160350,41615360
39415683,1050205,7527428,5420,18473507780,8264211972,1865724232,16363,0,420806224,41680896
118573708,1656113746,7696268,741267,10883661698,8158854317,4172934683,2214,0,420988221,41811968
61565566,440964892,5418973,16490,18375859764,8275163549,1833291250,42362,0,420474161,41615360
71451140,658274986,9131438,494499,13136863899,8004866497,3366983122,921,0,421389915,41811968
93364799,1214423575,4595800,12909,14912126905,8235403975,3026198130,29146,0,420632275,41615360
46629071,102134272,10446657,4998,16527213659,8284456007,2595364605,571,0,420906869,41811968
127065044,1944014536,4664968,654354,11833917775,8261358938,3848036683,26628,0,420637451,41615360
45374695,523288,9017260,6863,17371840142,8215317643,2153687163,3335,0,420434828,41549824
135939222,2039100637,6958785,722075,9713235759,8034672089,4369554614,9094,0,420634890,41549824
39005578,904082,7174945,6036,18769991566,8271749980,1827844435,19597,0,420531826,41615360
108368405,1465633231,8603450,515794,11204969669,8269411884,4129469205,793,0,420894887,41746432
62621618,487035854,4893809,11026,17618990219,8262287791,2144592575,29757,0,420375783,41615360
70810800,612660881,8883455,769324,13446606377,7949053293,3199840415,912,0,421127869,41811968
100587162,1397622837,4802328,12982,14744452690,8242359066,2963475125,25200,0,420784825,41615360
41418085,399713,10172172,4941,16802832514,8276773309,2435138988,443,0,420490040,41680896
130292214,1967014296,5072644,530694,11320732884,8252153008,4155680819,22730,0,420069250,41549824
44822915,780271,7677559,6464,17495799023,8046398415,2020740498,6399,0,420833889,41615360
137107270,2149618308,7401235,661012,9197030721,8143955453,4476512882,6089,0,420254082,41615360
