category,SP
runtime,3827.4964203834534
l2miss,127634601.47667332
r1b2,1983734781.379689
l3miss,79957270.85783336
instructions,4670372044.016917
cycles,8159446822.184932
stall_cycles,6175587876.028265
intra_coh,567.4887569612273
inter_coh,2.4808237890091416
wall-cycles,421175571.73253125
llc_occupancy,5261631.132499738
