category,ferret
runtime,51.71823334693909
l2miss,147475134.14141414
l3miss,55219824.242424235
instructions,32566751812.22222
cycles,20641053097.434345
stall_cycles,5175621707.777778
intra_coh,118713.73737373737
inter_coh,0.6060606060606061
wall_cycles,2107859914.9494948
llc_size,412944321.93939394
local_mem,818638641.1313131
remote_mem,9152532.686868686
