category,IS
runtime,2028.722369670868
l2miss,5012834.15039604
r1b2,1956323.0947524752
l3miss,2432522.113168317
instructions,111766892.58168317
cycles,335623806.6136634
stall_cycles,258199699.1778218
intra_coh,56279.27455445545
inter_coh,203395.2797029703
wall-cycles,420679688.94574255
llc_occupancy,2256449.900990099
