category,MG
runtime,15.279699325561523
l2miss,127219223.55882353
r1b2,749416307.6617647
l3miss,85341483.10294117
instructions,8182330302.294118
cycles,4100654932.8088236
stall_cycles,961714044.8088236
intra_coh,134986.54411764705
inter_coh,0.04411764705882353
wall_cycles,421717346.8235294
llc_size,41858228.705882356
local_mem,8003822049.882353
remote_mem,6228811.294117647
