category,blackscholes
runtime,75.75619125366211
l2miss,6345873.328877006
l3miss,6295985.561497327
instructions,10472744960.494654
cycles,16203537579.852942
stall_cycles,6467730325.200535
intra_coh,698.9438502673796
inter_coh,2.660427807486631
wall_cycles,2102083990.7352943
llc_size,380206928.77005345
local_mem,465844432.0855615
remote_mem,1223105.026737968
