category,DC
runtime,92.50253677368164
l2miss,61080520.73719376
r1b2,318678.3162583519
l3miss,47036298.85746103
instructions,3203976780.7282853
cycles,6420184968.605791
stall_cycles,4510087268.189309
intra_coh,37.11581291759465
inter_coh,0.1291759465478842
wall_cycles,420056556.5946548
llc_size,41489104.677060135
local_mem,3539573087.216036
remote_mem,1494483.5278396436
