category,fluidanimate
runtime,59.095603942871094
l2miss,15502682.0625
r1b2,19274084.777777776
l3miss,10037547.243055556
instructions,6812988939.340278
cycles,3887662478.6770835
stall_cycles,909632733.8784722
intra_coh,1038734.6111111111
inter_coh,0.04861111111111111
wall_cycles,420424726.1111111
llc_size,41568711.11111111
local_mem,680545393.7777778
remote_mem,3577173.3333333335
