category,swaptions
runtime,33.03199315071106
l2miss,955838.4567901235
r1b2,44481.21604938272
l3miss,4900.265432098766
instructions,10610138594.104939
cycles,5030607058.679012
stall_cycles,627169140.1419753
intra_coh,631830.6234567901
inter_coh,2954.3518518518517
llc_occupancy,0.0
wall-cycles,420851821.3518519
