category,canneal
runtime,78.04358863830566
l2miss,8738673.689119171
r1b2,67562.90155440415
l3miss,7263307.556994819
instructions,334916381.9637306
cycles,1552304439.5025907
stall_cycles,1305556903.261658
intra_coh,180464.47150259066
inter_coh,0.0
wall-cycles,419705980.238342
llc_occupancy,2088153.5336787566
local_mem,565540365.2642487
remote_mem,645852.1865284974
