l2miss,r1b2,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall-cycles,llc_occupancy,local_mem,remote_mem
18139139,72983,15393002,592520324,3273453064,2790678417,452524,0,419492468,2097152,1231093760,1310720
17494188,73512,14826759,570965454,3212664064,2748032723,435332,0,419677567,2097152,1178402816,0
17748358,74466,15055703,580866752,3273494192,2800842805,445901,0,419425720,2097152,1184432128,2424832
17112201,82651,14502059,583441774,3282712062,2809046280,438976,0,419580405,2097152,1154285568,0
17125793,74414,14513759,583456774,3283024193,2808978114,439177,0,419741169,2097152,1156710400,3538944
17165393,78434,14552251,585204710,3288014235,2812723314,439858,0,419376346,2097152,1173225472,0
17077572,77330,14450149,580892401,3283723941,2810058360,437164,0,419718424,2097152,1157169152,2621440
17468975,80521,14793883,595000059,3284869143,2801347737,446798,0,419730145,2097152,1175846912,0
17180304,84341,14524834,582536422,3281649503,2807409356,438524,0,419594635,2097152,1165819904,0
17852966,74190,15136009,594468881,3277072822,2793070270,450858,0,419771405,2031616,1182859264,0
19580705,74043,16604660,653528517,3278518823,2747700855,496788,0,419608847,2097152,1298792448,4456448
18049253,76231,15299534,599083865,3277792473,2790206927,457673,0,419537225,2097152,1217921024,196608
17989217,77423,15287144,588094720,3273820269,2794401671,450759,0,419631267,2097152,1206255616,0
17780718,77188,15060452,578476001,3269058881,2796771732,446154,0,419555033,2097152,1181089792,2621440
17950672,74145,15199805,585737581,3276350556,2799294956,447936,0,419719631,2097152,1211826176,0
17347974,76808,14669558,589685229,3204236684,2725171778,442226,0,419684176,2097152,1196490752,5636096
17482382,81826,14827250,592022132,3264289050,2783042802,446008,0,419586976,2097152,1190002688,2228224
17830792,78215,15118594,594401233,3279789228,2796844695,451521,0,419670357,2097152,1225654272,0
17464186,76128,14811502,581846971,3276168446,2803017000,442414,0,419486483,2097152,1164050432,3080192
17617951,78483,14931388,586014055,3278497856,2801001778,446417,0,419737849,2097152,1215430656,0
17475573,68826,14823675,582991566,3274803916,2800482029,442030,0,419426883,2097152,1184628736,4915200
17440251,73138,14815089,582028210,3277183146,2803834264,442520,0,419572629,2097152,1204813824,0
17761422,70253,15050091,591742175,3274701580,2792787334,448864,0,419597400,2097152,1200422912,0
17467452,76885,14808330,581921477,3277062877,2803739036,443123,0,419759432,2097152,1191247872,3604480
17586695,76156,14912783,585940350,3275445351,2798803649,445265,0,419526167,2031616,1178861568,0
17458385,76944,14820603,582434335,3278867810,2804817835,443524,0,419758538,2097152,1194459136,0
17510655,81080,14838559,581211888,3276933074,2803777700,441750,0,419455726,2097152,1183907840,1966080
18157374,82290,15403131,592534399,3272550149,2790438768,453506,0,419707557,2097152,1230438400,0
18191830,76105,15395424,593992309,3272203516,2788693056,454196,0,419567844,2097152,1231355904,524288
18128333,74068,15369956,591068136,3267096813,2785079760,452036,0,419728873,2097152,1231552512,2228224
17799491,79697,15140774,582562390,3269825095,2795517560,445265,0,419589589,2097152,1197867008,0
17767659,76542,15052356,579404279,3266725127,2794086554,443378,0,419630166,2097152,1207369728,0
16964135,76071,14436725,566996225,3191100879,2730881592,429549,0,419663408,2097152,1169620992,5832704
17486798,80115,14852350,583660737,3280614958,2806188581,444773,0,419573031,2097152,1210908672,0
17552494,80683,14859266,584186082,3275484334,2799342344,445011,0,419613769,2097152,1202520064,720896
17563924,76569,14895092,585345208,3278012227,2801710461,445739,0,419853571,2097152,1188823040,5308416
17473447,77896,14817482,581795867,3279654481,2805864548,443212,0,419369012,2097152,1177288704,0
17478343,78319,14817754,582367612,3277683602,2804691025,442069,0,419705189,2097152,1180893184,1048576
17458525,75136,14775063,581061053,3281752840,2807937580,440613,0,419540483,2097152,1195048960,2097152
17501482,83764,14848296,583204526,3282629995,2808489468,443130,0,419734533,2097152,1174994944,3735552
17471272,75316,14833286,582583846,3281698383,2807366980,444671,0,419577343,2097152,1167720448,0
17464413,74999,14817037,581982679,3281930380,2808254131,444704,0,419786921,2097152,1180565504,2686976
19237360,73530,16414546,632280802,3273954072,2759571873,484524,0,419684568,2097152,1312686080,0
18986723,71867,16116186,620020048,3274466650,2770324154,476769,0,419606776,2097152,1295122432,1900544
17929747,75390,15224640,585975424,3271522404,2794613121,450307,0,419549148,2097152,1206452224,3342336
