category,bfs
runtime,28.192272186279297
l2miss,7705729.817518248
l3miss,4228013.722627738
instructions,7557365847.883211
cycles,3072851417.883212
stall_cycles,482939099.6350365
intra_coh,204963.39416058396
inter_coh,2.3722627737226274
wall_cycles,2102153960.7664232
llc_size,302831331.9708029
local_mem,444252757.9562044
remote_mem,2855838.8321167883
