category,MG
runtime,13.1003999710083
l2miss,174748222.14545456
r1b2,2136942873.3272727
l3miss,89824841.83636364
instructions,10046543614.618181
cycles,8194231687.454545
stall_cycles,4094886675.7272725
intra_coh,92788.25454545455
inter_coh,1.1636363636363636
wall_cycles,425752270.74545455
llc_size,41933507.49090909
local_mem,10100458365.672728
remote_mem,8945068.218181819
