category,CG
runtime,46.18187236785889
l2miss,328388025.8727273
r1b2,5797526.731818181
l3miss,62328247.61818182
instructions,3482034144.9727273
cycles,8264008935.290909
stall_cycles,6223379958.118182
intra_coh,198558.41818181818
inter_coh,0.01818181818181818
wall_cycles,421368336.27272725
llc_size,41941848.43636364
local_mem,4045297477.818182
remote_mem,5936965.818181818
