category,ferret
runtime,29.672703981399536
l2miss,58361437.84496124
r1b2,53768754.12403101
l3miss,22293944.472868215
instructions,12817050481.170542
cycles,8184677947.736434
stall_cycles,2074362597.1627908
intra_coh,97154.81395348837
inter_coh,0.14728682170542637
wall_cycles,421567314.2790698
llc_size,41755576.55813953
local_mem,352625338.5426357
remote_mem,3064951.069767442
