category,particlefilter
runtime,147.01316285133362
l2miss,207870978.76607388
r1b2,277161.78522571817
l3miss,29371.284541723668
instructions,10038689915.218878
cycles,2833437957.619699
stall_cycles,82386117.65663475
intra_coh,5980.466484268126
inter_coh,1258.8084815321477
llc_occupancy,291270.7169767442
wall-cycles,420580146.500684
