category,kmeans,blackscholes
runtime,52.52872705459595,57.15010118484497
l2miss,10842483.61923077,1349342.374558304
r1b2,2993850.826923077,1384620.71024735
l3miss,1107806.646153846,1066671.9469964665
instructions,1208640997.1384616,2150073832.6113076
cycles,902252865.9,1188911296.5795052
stall_cycles,373425644.1423077,227046507.43462896
intra_coh,7061181.103846154,4753.713780918728
inter_coh,480.39230769230767,780.148409893993
llc_occupancy,4182637.150576923,3526452.683286219
wall-cycles,420450510.6807692,420479048.78798586
