l2miss,r1b2,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
77693675,66412532,28704511,12359758018,8110447042,2261710253,230905,0,506436069,41746432,808452096,10944512
54581286,45409205,19548578,13288689538,8281408776,2004690084,75517,0,420652130,41615360,396558336,0
54356880,51358589,20218361,13399023056,8273354023,1952837846,76317,0,420561571,41746432,316473344,4653056
60556905,55366476,23015125,13046451284,8297027594,2105103537,96757,0,421274148,41484288,388694016,720896
57913088,54757680,21882391,13020404855,8292523954,2132838279,92710,0,420952188,41680896,367919104,1638400
52120806,47356902,21310055,13168887301,8290768009,2048322355,76488,0,421010652,41615360,346685440,2555904
46194409,41392074,18471703,13269675364,8298261887,1996261763,60581,0,420685832,41746432,265682944,6488064
57250370,49978680,23463679,12792019864,8276404396,2201388286,102801,0,420814060,41680896,398589952,589824
63789414,56991314,23747351,12777855086,8283864034,2172442249,126513,0,421081737,41746432,389873664,8388608
59499478,57506783,22444536,13092216480,8293500989,2136889941,90889,0,420888009,41615360,364969984,4587520
58805683,57896926,22914603,13041976954,8290068905,2094209137,88933,0,420964527,41549824,352059392,0
50050452,46854843,20351397,13020339889,8285444931,2028143668,65375,0,420835809,41746432,273285120,1572864
69636957,58813106,26286658,12574719198,8255128073,2291796532,149988,0,420888687,41615360,494338048,4259840
66520541,61854112,25721246,12720432291,8247795985,2195642433,118055,0,420759663,41680896,436338688,5242880
55095632,49971542,20896412,13109199307,8292416717,2069525725,75957,0,420825780,41746432,323616768,589824
47061641,42230466,17193291,13438856211,8301410425,1913966470,43468,0,421221066,41746432,223608832,2293760
56536338,55702966,21084446,13022120482,8297414049,2094133239,108716,0,420993825,41549824,318111744,2424832
60638019,57224782,24307204,12883444654,8291293923,2142320987,105130,0,420980661,41680896,399441920,5308416
64612127,57217776,24152165,12741212979,8229851970,2227744402,150600,2,420865692,41615360,456982528,2949120
48648720,43586850,17940333,13248467043,8298575906,1958159191,53394,0,420936924,41746432,256901120,2490368
44779956,40148454,17112200,13392200598,8291685616,1966484457,62120,0,421033812,41680896,258211840,2621440
54148515,52191772,20660378,12970527548,8283025206,2026544738,74162,0,420852909,41746432,293470208,1572864
63557921,58393309,24553563,12870003084,8293046726,2186171795,107457,0,420977985,41746432,439812096,1769472
60857939,55026918,22278437,12984726888,8273106814,2136233612,109469,0,420887814,41615360,382468096,6422528
48748528,45373798,18823243,13122472645,8297358534,1991311093,59523,0,421086591,41746432,240451584,262144
49528776,46689005,19330430,12980210053,8288684959,2041958341,86974,0,421186236,41680896,277544960,65536
60749069,57714924,23300097,12982133079,8279797148,2091543662,152097,0,421116558,41746432,366411776,8847360
56271318,54345751,22938193,12722871818,8261593068,2113325475,87625,0,420908466,41746432,360841216,0
60156876,59049832,23459269,12776005699,8234841056,2137289898,107396,2,420882228,41811968,390201344,5767168
61675370,57958332,22749151,13229726766,8296621167,2103883429,106540,0,421035695,41746432,379584512,2031616
45627296,44091947,18156437,13014139168,8299979104,2019354082,58195,0,421316137,41811968,273416192,6291456
56311057,53562408,22430187,12886705143,8299725727,2139514069,103643,0,421185699,41746432,357564416,0
65145016,56238874,24007257,12836085480,8284733656,2166738330,90398,0,421042125,41811968,397803520,3866624
59702554,51491961,22090681,12918540257,8249853014,2094953269,86881,0,420956952,41680896,378142720,2359296
48955504,44378332,18833206,13335999464,8290038744,2003206144,67732,0,420789165,41680896,273154048,131072
48486398,46486191,18007374,13344540997,8302949319,1977116323,64149,0,420855832,41615360,230817792,7798784
63064979,54563392,22630517,12755522719,8284210972,2164150417,120153,0,420963737,41680896,384827392,1048576
63135576,59538181,23668537,12739476518,8293784265,2157106077,104719,0,421048527,41615360,357892096,0
