l2miss,r1b2,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,llc_occupancy,wall-cycles
4296920,4595416,2585491,646831592,419536457,149847368,43,350,31209710.72,420311736
4299167,4601117,2587036,646873482,419536484,149821180,43,350,31209811.94,420390468
4298952,4599439,2587052,646888030,419536457,149819632,43,350,31209631.86,420386907
4298221,4597562,2586622,646809425,419536428,149834936,43,349,31209351.53,420349689
4297483,4595702,2586188,646736913,419536403,149857194,43,349,31209432.70,420357108
4296570,4593831,2585869,646592838,419536431,149899660,43,349,31209413.49,420472038
4296483,4592587,2585996,646527632,419536467,149909211,43,349,31209514.61,420415257
4298700,4593636,2587669,646566821,419536453,149880979,43,349,31209615.66,420642946
4299240,4594522,2588243,646558036,419536488,149873805,43,349,31209696.59,420415954
4299371,4593923,2587832,646591670,419536552,149862279,43,349,31209757.42,420498582
4299215,4594066,2587904,646621524,419536627,149848599,43,349,31209858.24,420519260
4298497,4592578,2587654,646638191,419536607,149839758,43,349,31209798.88,420547162
4299149,4597640,2588209,646610493,419536647,149849384,43,349,31209819.58,420522956
4298295,4595770,2587983,646569178,419536731,149859623,43,349,31209920.26,420253736
4297620,4593902,2587828,646520658,419536758,149875727,43,349,31210020.85,420498465
4296860,4592081,2587530,646498114,419536772,149878989,43,349,31210001.48,420639237
4296378,4590361,2587104,646511684,419536818,149874784,43,349,31210081.99,420423844
4295711,4588931,2586595,646502078,419536832,149876613,43,349,31210042.65,420460829
4295858,4590755,2586255,646516082,419536855,149868313,43,349,31210143.03,420333999
4295369,4589436,2585542,646556226,419536870,149851856,43,349,31210183.48,420485311
4296890,4594593,2586230,646560090,419536876,149840294,43,349,31210283.72,420140018
4297160,4593473,2586755,646634140,419536834,149813748,43,349,31210383.88,420340968
4296208,4591642,2586431,646481458,419536826,149867211,43,349,31210384.34,420722510
4295549,4589782,2586153,646397469,419536882,149887328,43,349,31210484.38,420257485
4294841,4587937,2585721,646312037,419536905,149908194,43,349,31210504.71,420749919
4294076,4586082,2585272,646235665,419535995,149928325,44,349,31210445.42,420363627
4295105,4586130,2586097,646203863,419536010,149925228,44,349,31210545.31,420257388
4297856,4589066,2587998,646225179,419535971,149899437,44,349,31210645.13,420406983
4297135,4587479,2587473,646265355,419535949,149885491,44,349,31210387.10,420254412
4296784,4586256,2587471,646259546,419535901,149887111,44,349,31210387.56,420621996
4297145,4588102,2587709,646285336,419535956,149869415,44,349,31210487.31,420283089
4297256,4588992,2587468,646323033,419535973,149853248,44,349,31210527.43,420484650
4297270,4589325,2587895,646264811,419536005,149870342,44,349,31210507.99,420670038
4296492,4587474,2587737,646229338,419536087,149880469,44,349,31210488.56,420613056
4295682,4585624,2587553,646194855,419536120,149888738,44,349,31210508.81,420402438
4295878,4587616,2587259,646196888,419536192,149887690,44,349,31210568.67,420358722
4295315,4586024,2586797,646200487,419536220,149885205,44,349,31210430.37,420695715
4295021,4587338,2586646,646196685,419536274,149882407,44,349,31210529.83,420264267
4294532,4585993,2585945,646235909,419536311,149866145,44,349,31210530.23,420503355
4294045,4584661,2585245,646275126,419536344,149850304,44,349,31210550.42,420585744
4295370,4589418,2586188,646188075,419536357,149874774,44,349,31210649.70,420555342
4294528,4587576,2585858,646063991,419536400,149909987,44,349,31210729.14,420278832
4294413,4586200,2586027,646049034,419536382,149908951,44,349,31210828.28,420743523
4294313,4584568,2586146,646066802,419536437,149902588,44,349,31210808.80,420244326
4293558,4582730,2585692,645990185,419536414,149922495,44,349,31210769.59,420444042
4293099,4581290,2585435,645923342,419536442,149940902,44,349,31210829.11,420403659
4295244,4582150,2587000,645952486,419536462,149916928,43,349,31210928.04,420697892
4296497,4584087,2587991,645949419,419536492,149904019,43,349,31210967.73,420529009
4296182,4582808,2587816,645963395,419536567,149897921,43,349,31211066.53,420368445
4296034,4582970,2587560,646000497,419536651,149881957,43,349,31211165.25,420737439
4295582,4582717,2587701,646004989,419535949,149874354,44,349,31211165.40,420546790
4296317,4587221,2588170,645995953,419536028,149875114,44,349,31211264.00,420260084
4295566,4585384,2588000,645960347,419536061,149884119,44,349,31211224.73,420709236
4294867,4583549,2587848,645916518,419536130,149899554,44,349,31210870.67,420290904
4294842,4585398,2587826,645895602,419536151,149901239,44,349,31210969.28,420730317
4294361,4583704,2587402,645908946,419536241,149896685,44,349,31211008.82,420264009
4293726,4582252,2586903,645901790,419536267,149896988,44,349,31211087.64,420451824
4293166,4580819,2586422,645913868,419536269,149888582,44,349,31211048.52,420657600
4292698,4579458,2585722,645957229,419536331,149871030,44,349,31211068.34,420597179
4294322,4583391,2586402,645980751,419536386,149858301,44,349,31211166.67,420515928
4293379,4581574,2586091,645829818,419536449,149908804,44,349,31211186.43,420535504
4292816,4579788,2585846,645756461,419536467,149922397,44,349,31211225.79,420353577
4292099,4578029,2585460,645671280,419536485,149944254,44,349,31211245.52,420428979
4291354,4576207,2585016,645597301,419536504,149966316,44,349,31211343.62,420707845
4291405,4574931,2585262,645650730,419536542,149944577,43,349,31211382.87,420424118
4292825,4575026,2586273,645665026,419536584,149929369,43,349,31211480.84,420674420
4295306,4577610,2587862,645688023,419536623,149905628,43,349,31211578.72,420498701
4294645,4576082,2587305,645729772,419536662,149892307,43,349,31211559.13,420511742
4294761,4577068,2587752,645724111,419536732,149886828,43,349,31211656.91,420379068
4294782,4576325,2587273,645769069,419536799,149874830,43,349,31211735.06,420632490
4294270,4575382,2586962,645806577,419536867,149862791,43,349,31211832.70,420399084
4294613,4578391,2587266,645757685,419536927,149880643,43,349,31211930.25,420454341
4293883,4576573,2587115,645717858,419536958,149892389,43,349,31211949.62,420452112
4293065,4574756,2586910,645680221,419536999,149901260,43,349,31212047.05,420534333
4292919,4573058,2586510,645682908,419537064,149899749,43,349,31212124.89,420736121
4292354,4571502,2586048,645683874,419536156,149897624,43,349,31212046.63,420530359
4292443,4572913,2585850,645682767,419536221,149894676,44,349,31212124.41,420239940
4291966,4571590,2585162,645721617,419536222,149878305,44,349,31211812.34,420690307
4291486,4570235,2584467,645760283,419536286,149861468,43,349,31211422.59,420376556
4293003,4575211,2585402,645710220,419536332,149869286,43,349,31211422.63,420681573
4292292,4573401,2584982,645641186,419536381,149887344,43,349,31211442.14,420426645
4291558,4571605,2584604,645556655,419536427,149912097,43,349,31211539.46,420423747
4290734,4569802,2584315,645436417,419536460,149947422,43,349,31211461.65,420569889
4290610,4568567,2584513,645418289,419536499,149945867,43,349,31211558.89,420504831
4291452,4568092,2585173,645451617,419536564,149927059,43,349,31211656.05,420582531
4293549,4569045,2586637,645501632,419536631,149895375,43,349,31211675.42,420371985
4293952,4569756,2586800,645509451,419536671,149891434,43,349,31211558.84,420446502
4294121,4571184,2587201,645508844,419536626,149882839,43,349,31211558.82,420455472
4294315,4571255,2586854,645553903,419536659,149870000,43,349,31211655.83,420660297
4293593,4569737,2586343,645592468,419536729,149858667,43,349,31211675.18,420549540
4294325,4572770,2586723,645567951,419536783,149870049,43,349,31211733.28,420288003
4293480,4570968,2586479,645531910,419536830,149877292,43,349,31211616.91,420707012
4292776,4569166,2586337,645487662,419536876,149893422,43,349,31211636.24,420533008
4292819,4571011,2586223,645474682,419536944,149893986,43,349,31211694.30,420546789
4292332,4569398,2585796,645484888,419537011,149890365,43,349,31211771.66,420228201
4291693,4568010,2585301,645475949,419536994,149891646,43,349,31211752.21,420400437
4291164,4566739,2584825,645493966,419536963,149881357,43,349,31211771.47,420512388
4290686,4565457,2584131,645533179,419537001,149865684,43,349,31211732.70,420495018
4292322,4570184,2584879,645531062,419536991,149858688,43,349,31211829.25,420704055
4291591,4568441,2584433,645453758,419536991,149878679,43,349,31211925.74,420225087
4290881,4566658,2584001,645385499,419536118,149897979,44,349,31212002.83,420414861
4291185,4565301,2584494,645450847,419536135,149873362,44,349,31212099.17,420711083
4290518,4563629,2584306,645328121,419536141,149914724,44,349,31212021.75,420148684
4289875,4561840,2584032,645244776,419536155,149933026,44,349,31211770.78,420451575
4291492,4561883,2585133,645246077,419536183,149914473,43,349,31211867.09,420511761
4293469,4564078,2586436,645257503,419536259,149896042,43,349,31211886.23,420715988
