category,fluidanimate
runtime,34.795697927474976
l2miss,27648959.467065867
r1b2,41618467.07185629
l3miss,17748086.826347306
instructions,12162971889.946108
cycles,7155829574.682634
stall_cycles,1814315585.7844312
intra_coh,1986146.736526946
inter_coh,0.40119760479041916
wall_cycles,420267997.7185629
llc_size,41911253.077844314
local_mem,1216460787.736527
remote_mem,5859389.317365269
