category,UA
runtime,2031.1409630775452
l2miss,89034722.51385316
r1b2,1003835278.2270929
l3miss,57228288.88630517
instructions,7558211139.342568
cycles,7438577228.825352
stall_cycles,3890292881.0937066
intra_coh,11967.157925984564
inter_coh,0.06906788046704927
wall-cycles,420860740.7365921
llc_occupancy,3084173.704334059
