category,EP
runtime,31.090853452682495
l2miss,15074415.193103448
r1b2,45248.744827586204
l3miss,3196262.751724138
instructions,5209171335.620689
cycles,8248226562.827586
stall_cycles,2896955991.3448277
intra_coh,4.510344827586207
inter_coh,0.6206896551724138
wall_cycles,421214904.13793105
llc_size,18917305.379310343
local_mem,10847.337931034483
remote_mem,113897.04827586206
