category,swaptions
runtime,24.343243837356567
l2miss,6218266.901785715
r1b2,242549.0
l3miss,8032.991071428572
instructions,13785110025.991072
cycles,7520777754.276786
stall_cycles,1492611933.955357
intra_coh,4776287.553571428
inter_coh,0.26785714285714285
wall_cycles,421556924.78571427
llc_size,3802843.4285714286
local_mem,67876.57142857143
remote_mem,44470.857142857145
