category,libquantum
runtime,472.41107058525085
l2miss,23825004.70759219
r1b2,29787407.12321041
l3miss,6704248.512798265
instructions,999947374.035141
cycles,419170917.1778742
stall_cycles,90243082.55704989
intra_coh,55.982646420824295
inter_coh,367.9470715835141
llc_occupancy,29582866.854854662
wall-cycles,420476549.36876357
