category,IS
runtime,1223.1031849384308
l2miss,7397413.337111878
r1b2,2952289.6899950714
l3miss,4017307.5460818135
instructions,184773908.1647774
cycles,538298605.2843765
stall_cycles,410894583.01199275
intra_coh,54394.26285526532
inter_coh,213949.87711516346
wall_cycles,419840234.8306226
llc_size,34792908.43831115
local_mem,249198190.60949564
remote_mem,1338820.6998521439
