category,kmeans,swaptions
runtime,50.331836462020874,49.987244844436646
l2miss,10738568.97188755,665908.406504065
r1b2,3327154.7831325303,33002.45121951219
l3miss,1092882.1485943776,12733.426829268292
instructions,1210160439.8674698,8705708696.556911
cycles,879164105.0321286,4131073606.3617887
stall_cycles,352781336.875502,512309697.8577236
intra_coh,7046316.012048192,356726.2195121951
inter_coh,706.6706827309237,2874.7357723577234
llc_occupancy,16964054.85365462,181453.9111788618
wall-cycles,420504720.05220884,420622699.097561
