category,canneal
runtime,40.49818515777588
l2miss,14813222.474747475
r1b2,55458.0101010101
l3miss,10716896.924242424
instructions,652628073.3686869
cycles,2623220530.121212
stall_cycles,2174231159.8030305
intra_coh,154082.89393939395
inter_coh,2337.070707070707
wall-cycles,420164359.44949496
llc_occupancy,41843081.05050505
